State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Texas,1,R+25,Louie Gohmert,R,"61,263","168,165","3,292",26.3%,72.3%,1.4%,-45.9%,-46.6%,0.7%,"264,551",88.0%,x
Texas,2,R+11,Dan Crenshaw,R,"119,992","139,188","4,212",45.6%,52.8%,1.6%,-7.3%,-9.2%,1.9%,"279,891",94.1%,x
Texas,3,R+13,Van Taylor,R,"138,234","169,520","4,757",44.2%,54.2%,1.5%,-10.0%,-13.9%,3.9%,"324,304",96.4%,x
Texas,4,R+28,John Ratcliffe,R,"57,400","188,667","3,178",23.0%,75.7%,1.3%,-52.7%,-53.2%,0.5%,"281,123",88.7%,x
Texas,5,R+16,Lance Gooden,R,"78,666","130,617",224,37.5%,62.3%,0.1%,-24.8%,-28.3%,3.5%,"233,340",89.8%,x
Texas,6,R+9,Ron Wright,R,"116,350","135,961","3,731",45.4%,53.1%,1.5%,-7.7%,-12.2%,4.5%,"276,953",92.4%,x
Texas,7,R+7,Lizzie Fletcher,D,"127,959","115,642",0,52.5%,47.5%,0.0%,5.1%,1.4%,3.7%,"258,953",94.1%,x
Texas,8,R+28,Kevin Brady,R,"67,930","200,619","4,621",24.9%,73.4%,1.7%,-48.6%,-48.3%,-0.3%,"298,315",91.6%,x
Texas,9,D+29,Al Green,D,"136,256",0,"16,745",89.1%,0.0%,10.9%,89.1%,61.2%,N/A,"191,513",79.9%,x
Texas,10,R+9,Michael McCaul,R,"144,034","157,166","6,627",46.8%,51.1%,2.2%,-4.3%,-9.1%,4.8%,"317,561",96.9%,x
Texas,11,R+32,Mike Conaway,R,"40,631","176,603","3,143",18.4%,80.1%,1.4%,-61.7%,-58.5%,-3.2%,"249,682",88.3%,x
Texas,12,R+18,Kay Granger,R,"90,994","172,557","4,940",33.9%,64.3%,1.8%,-30.4%,-30.0%,-0.4%,"285,007",94.2%,x
Texas,13,R+33,Mac Thornberry,R,"35,083","169,027","3,175",16.9%,81.5%,1.5%,-64.6%,-62.8%,-1.8%,"239,860",86.4%,x
Texas,14,R+12,Randy Weber,R,"92,212","138,942","3,374",39.3%,59.2%,1.4%,-19.9%,-19.7%,-0.2%,"264,338",88.7%,x
Texas,15,D+7,Vicente Gonzalez,D,"98,333","63,862","2,607",59.7%,38.8%,1.6%,20.9%,16.6%,4.3%,"185,819",88.7%,x
Texas,16,D+17,Veronica Escobar,D,"124,437","49,127","8,190",68.5%,27.0%,4.5%,41.4%,40.3%,1.1%,"194,603",93.4%,x
Texas,17,R+12,Bill Flores,R,"98,070","134,841","4,440",41.3%,56.8%,1.9%,-15.5%,-17.3%,1.8%,"250,189",94.9%,x
Texas,18,D+27,Sheila Jackson Lee,D,"138,704","38,368","7,260",75.2%,20.8%,3.9%,54.4%,56.3%,-1.9%,"206,135",89.4%,x
Texas,19,R+27,Jodey Arrington,R,"50,039","151,946",0,24.8%,75.2%,0.0%,-50.5%,-48.7%,-1.8%,"229,585",88.0%,x
Texas,20,D+10,Joaquin Castro,D,"139,038",0,"32,925",80.9%,0.0%,19.1%,80.9%,26.4%,N/A,"219,982",78.2%,x
Texas,21,R+10,Chip Roy,R,"168,421","177,654","7,542",47.6%,50.2%,2.1%,-2.6%,-9.9%,7.3%,"362,694",97.5%,x
Texas,22,R+10,Pete Olson,R,"138,153","152,750","6,502",46.5%,51.4%,2.2%,-4.9%,-7.8%,2.9%,"308,653",96.4%,x
Texas,23,R+1,Will Hurd,R,"102,359","103,285","4,425",48.7%,49.2%,2.1%,-0.4%,3.5%,-3.9%,"233,136",90.1%,x
Texas,24,R+9,Kenny Marchant,R,"125,231","133,317","4,870",47.5%,50.6%,1.8%,-3.1%,-6.2%,3.1%,"277,497",94.9%,x
Texas,25,R+11,Roger Williams,R,"136,385","163,023","5,145",44.8%,53.5%,1.7%,-8.7%,-14.7%,6.0%,"315,361",96.6%,x
Texas,26,R+18,Michael Burgess,R,"121,938","185,551","5,016",39.0%,59.4%,1.6%,-20.4%,-26.2%,5.8%,"322,035",97.0%,x
Texas,27,R+13,Michael Cloud,R,"75,929","125,118","6,374",36.6%,60.3%,3.1%,-23.7%,-23.4%,-0.3%,"235,405",88.1%,x
Texas,28,D+9,Henry Cuellar,D,"117,494",0,"21,732",84.4%,0.0%,15.6%,84.4%,19.7%,N/A,"190,247",73.2%,x
Texas,29,D+19,Sylvia Garcia,D,"88,188","28,098","1,208",75.1%,23.9%,1.0%,51.1%,45.6%,5.5%,"133,934",87.7%,x
Texas,30,D+29,Eddie Bernice Johnson,D,"166,784",0,"16,390",91.1%,0.0%,8.9%,91.1%,60.8%,N/A,"220,711",83.0%,x
Texas,31,R+10,John Carter,R,"136,362","144,680","4,965",47.7%,50.6%,1.7%,-2.9%,-12.5%,9.6%,"292,427",97.8%,x
Texas,32,R+5,Colin Allred,D,"144,067","126,101","5,452",52.3%,45.8%,2.0%,6.5%,1.9%,4.6%,"278,463",99.0%,x
Texas,33,D+23,Marc Veasey,D,"90,805","26,120","2,299",76.2%,21.9%,1.9%,54.3%,49.1%,5.2%,"129,867",91.8%,x
Texas,34,D+10,Filemon Vela,D,"85,825","57,243",0,60.0%,40.0%,0.0%,20.0%,21.5%,-1.5%,"172,183",83.1%,x
Texas,35,D+15,Lloyd Doggett,D,"138,278","50,553","5,236",71.3%,26.0%,2.7%,45.2%,33.3%,11.9%,"202,033",96.1%,x
Texas,36,R+26,Brian Babin,R,"60,908","161,048",0,27.4%,72.6%,0.0%,-45.1%,-46.5%,1.4%,"255,510",86.9%,x
Utah,1,R+26,Rob Bishop,R,"63,308","156,692","34,333",24.9%,61.6%,13.5%,-36.7%,-27.4%,-9.3%,"280,453",90.7%,x
Utah,2,R+16,Chris Stewart,R,"105,051","151,489","13,504",38.9%,56.1%,5.0%,-17.2%,-14.0%,-3.2%,"283,693",95.2%,x
Utah,3,R+25,John Curtis,R,"70,686","174,856","13,316",27.3%,67.5%,5.1%,-40.2%,-23.9%,-16.3%,"289,925",89.3%,x
Utah,4,R+13,Ben McAdams,D,"134,964","134,270",37,50.1%,49.9%,0.0%,0.3%,-6.7%,7.0%,"277,318",97.1%,x
Vermont,AL,D+15,Peter Welch,D,"188,547","70,705","13,199",69.2%,26.0%,4.8%,43.3%,26.4%,16.9%,"315,077",86.5%,x
Virginia,1,R+8,Rob Wittman,R,"148,464","183,250",387,44.7%,55.2%,0.1%,-10.5%,-12.4%,1.9%,"395,784",83.9%,x
Virginia,2,R+3,Elaine Luria,D,"139,571","133,458",371,51.1%,48.8%,0.1%,2.2%,-3.4%,5.6%,"326,766",83.7%,x
Virginia,3,D+16,Bobby Scott,D,"198,615",0,"19,107",91.2%,0.0%,8.8%,91.2%,31.5%,N/A,"325,478",66.9%,x
Virginia,4,D+10,Don McEachin,D,"187,642","107,706","4,506",62.6%,35.9%,1.5%,26.7%,21.4%,5.3%,"364,550",82.3%,x
Virginia,5,R+6,Denver Riggleman,R,"145,040","165,339",547,46.6%,53.2%,0.2%,-6.5%,-11.0%,4.5%,"367,564",84.6%,x
Virginia,6,R+13,Ben Cline,R,"113,133","167,957",287,40.2%,59.7%,0.1%,-19.5%,-24.6%,5.1%,"347,830",80.9%,x
Virginia,7,R+6,Abigail Spanberger,D,"176,079","169,295","4,429",50.3%,48.4%,1.3%,1.9%,-6.5%,8.4%,"394,763",88.6%,x
Virginia,8,D+21,Don Beyer,D,"247,137","76,899",712,76.1%,23.7%,0.2%,52.4%,51.8%,0.6%,"373,446",87.0%,x
Virginia,9,R+19,Morgan Griffith,R,"85,833","160,933",214,34.8%,65.2%,0.1%,-30.4%,-41.3%,10.9%,"318,350",77.6%,x
Virginia,10,D+1,Jennifer Wexton,D,"206,356","160,841",598,56.1%,43.7%,0.2%,12.4%,9.8%,2.6%,"408,608",90.0%,x
Virginia,11,D+15,Gerry Connolly,D,"219,191","83,023","6,051",71.1%,26.9%,2.0%,44.2%,38.9%,5.3%,"361,492",85.3%,x
Washington,1,D+6,Suzan DelBene,D,"197,209","135,534",0,59.3%,40.7%,0.0%,18.5%,16.4%,2.1%,"347,060",95.9%,x
Washington,2,D+10,Rick Larsen,D,"210,187",0,"84,646",71.3%,0.0%,28.7%,71.3%,22.1%,N/A,"327,533",90.0%,x
Washington,3,R+4,Jaime Herrera Beutler,R,"145,407","161,819",0,47.3%,52.7%,0.0%,-5.3%,-7.4%,2.1%,"315,150",97.5%,x
Washington,4,R+13,Dan Newhouse,R,"83,785","141,551",0,37.2%,62.8%,0.0%,-25.6%,-22.9%,-2.7%,"242,666",92.9%,x
Washington,5,R+8,Cathy McMorris Rodgers,R,"144,925","175,422",0,45.2%,54.8%,0.0%,-9.5%,-13.0%,3.5%,"319,560",100.2%,x
Washington,6,D+6,Derek Kilmer,D,"206,409","116,677",0,63.9%,36.1%,0.0%,27.8%,12.4%,15.4%,"333,450",96.9%,x
Washington,7,D+33,Pramila Jayapal,D,"329,800","64,881",0,83.6%,16.4%,0.0%,67.1%,69.8%,-2.7%,"415,979",94.9%,x
Washington,8,EVEN,Kim Schrier,D,"164,089","148,968",0,52.4%,47.6%,0.0%,4.8%,3.0%,1.8%,"320,558",97.7%,x
Washington,9,D+21,Adam Smith,D,"240,567",0,0,100.0%,0.0%,0.0%,100.0%,47.1%,N/A,"291,632",82.5%,x
Washington,10,D+5,Denny Heck,D,"166,215","103,860",0,61.5%,38.5%,0.0%,23.1%,11.3%,11.8%,"294,847",91.6%,x
West Virginia,1,R+19,David McKinley,R,"70,217","127,997",0,35.4%,64.6%,0.0%,-29.2%,-41.6%,12.4%,"243,894",81.3%,x
West Virginia,2,R+17,Alex Mooney,R,"88,011","110,504","6,277",43.0%,54.0%,3.1%,-11.0%,-36.4%,25.4%,"250,267",81.8%,x
West Virginia,3,R+23,Carol Miller,R,"76,340","98,645",0,43.6%,56.4%,0.0%,-12.7%,-49.3%,36.6%,"218,890",79.9%,x
Wisconsin,1,R+5,Bryan Steil ,R,"137,508","177,492","10,013",42.3%,54.6%,3.1%,-12.3%,-10.3%,-2.0%,"359,815",90.3%,x
Wisconsin,2,D+18,Mark Pocan,D,"309,116",0,38,100.0%,0.0%,0.0%,100.0%,36.3%,N/A,"418,192",73.9%,x
Wisconsin,3,EVEN,Ron Kind,D,"187,888","126,980",0,59.7%,40.3%,0.0%,19.3%,-4.5%,23.8%,"363,271",86.7%,x
Wisconsin,4,D+25,Gwen Moore,D,"206,487","59,091","7,170",75.7%,21.7%,2.6%,54.0%,51.5%,2.5%,"312,481",87.3%,x
Wisconsin,5,R+13,Jim Sensenbrenner,R,"138,385","225,619",1,38.0%,62.0%,0.0%,-24.0%,-19.8%,-4.2%,"405,647",89.7%,x
Wisconsin,6,R+8,Glenn Grothman,R,"144,536","180,311",0,44.5%,55.5%,0.0%,-11.0%,-16.6%,5.6%,"371,109",87.5%,x
Wisconsin,7,R+8,Sean Duffy,R,"124,307","194,061","4,419",38.5%,60.1%,1.4%,-21.6%,-20.3%,-1.3%,"373,201",86.5%,x
Wisconsin,8,R+7,Mike Gallagher,R,"119,265","209,410",0,36.3%,63.7%,0.0%,-27.4%,-17.4%,-10.0%,"372,434",88.3%,x
Wyoming,AL,R+25,Liz Cheney,R,"59,903","127,963","13,379",29.8%,63.6%,6.6%,-33.8%,-46.3%,12.5%,"255,849",78.7%,x
